nom,flowminder_short_trips__ituri_subscriber_days_followup_20260608,flowminder_short_trips__ituri_subscriber_days_prior_20260503,flowminder_short_trips__nk_subscriber_days_followup_20260608,flowminder_short_trips__nk_subscriber_days_prior_20260503,flowminder_short_trips__outflow_20260430,flowminder_short_trips__outflow_20260507,flowminder_short_trips__outflow_20260514,flowminder_short_trips__outflow_20260521,flowminder_short_trips__outflow_20260524
Aba,0.0005129,0.0004711,0.0002419,0.0001674,0.01,0.02,0.02,0.02,0.02
Adi,0.001032,0.001081,0.0003277,0.0001266,0.02,0.03,0.03,0.04,0.05
Adja,9.118e-06,5.319e-05,1.969e-05,5.063e-05,0.0,0.01,0.01,0.01,0.01
Aketi,5.775e-05,1.52e-05,0.0004022,0.0004191,,,,,
Alimbongo,0.0005093,0.0004673,0.01056,0.01031,0.01,0.01,0.02,0.03,0.03
Alunguli,3.571e-05,4.255e-05,0.0004303,0.0006286,,,,,
Ango,0.0,1.52e-06,0.0,0.0001828,,,,,
Angumu,0.01238,0.01216,0.0003206,4.219e-05,0.13,0.18,0.23,0.26,0.28
Ankoro,1.52e-06,3.039e-06,0.0,2.813e-06,,,,,
Ariwara,0.01072,0.01177,0.005159,0.005553,0.13,0.2,0.24,0.3,0.31
Aru,0.01857,0.01953,0.005552,0.006326,0.24,0.37,0.48,0.58,0.61
Aungba,0.008901,0.008864,0.002858,0.002581,0.1,0.17,0.25,0.31,0.34
Bafwagbogbo,0.0005463,0.0007026,0.005993,0.006189,0.01,0.01,0.01,0.02,0.02
Bafwasende,0.00277,0.002743,0.005608,0.004806,0.05,0.09,0.12,0.15,0.16
Bagata,0.0,1.52e-06,2.813e-06,2.813e-06,,,,,
Bagira,,,,,,,,,
Baka,3.039e-06,0.0,0.0,0.0,,,,,
Bambo,0.0003989,0.0001337,0.0002728,0.000128,0.0,0.0,0.01,0.01,0.01
Bambu,0.8123,0.7674,0.003188,0.003387,6.45,8.39,9.99,11.15,11.98
Banalia,0.000297,0.0004349,0.002254,0.002691,0.0,0.01,0.01,0.02,0.02
Bandalungwa,0.0009974,0.001615,0.0008944,0.001423,0.02,0.04,0.05,0.06,0.06
Bandundu,2.28e-05,1.52e-05,1.688e-05,4.782e-05,,,,,
Banga Lubaka,1.52e-06,0.0,0.0,0.0,,,,,
Bangabola,0.0,0.0,0.0,0.0,,,,,
Banzow Moke,0.0,0.0,0.0,0.0,,,,,
Barumbu,0.0007006,0.0009579,0.001328,0.001233,0.02,0.03,0.04,0.05,0.05
Basankusu,0.0,6.079e-06,0.0,0.0,,,,,
Basoko,0.0001596,7.269e-05,0.0007643,0.0005379,0.0,0.0,0.01,0.01,0.01
Befale,0.0,0.0,0.0,0.0,,,,,
Bena Dibele,0.0,0.0,0.0,0.0,,,,,
Bena Leka,1.52e-06,0.0,0.0,0.0,,,,,
Bena Tshadi,0.0,0.0,0.0,0.0,,,,,
Bengamisa,5.547e-05,6.687e-05,0.0001927,0.0002663,0.0,0.0,0.0,0.01,0.01
Beni,0.02617,0.02895,,,0.34,0.53,0.71,0.89,0.96
Bibanga,6.079e-06,1.52e-06,0.0,0.0,,,,,
Biena,0.0001774,0.000231,0.02321,0.02247,0.0,0.0,0.01,0.01,0.01
Bikoro,0.0,1.52e-06,0.0,2.813e-06,,,,,
Bili (Bas-Uele),0.0,0.0,0.0,0.0,,,,,
Binga,0.0,1.52e-06,1.969e-05,1.406e-05,,,,,
Binza,,,,,,,,,
Binza Meteo,0.001126,0.001179,0.001097,0.001416,0.02,0.03,0.04,0.04,0.05
Binza Ozone,0.002998,0.004234,0.003386,0.004465,0.05,0.07,0.08,0.09,0.09
Bipemba,7.523e-05,0.0001246,3.938e-05,7.439e-05,,,,,
Birambizo,3.039e-06,0.0,1.125e-05,1.406e-05,,,,,
Biringi,0.01359,0.01373,0.003436,0.003796,0.17,0.27,0.36,0.43,0.46
Biyela,0.0001064,8.206e-05,2.813e-05,2.813e-05,0.0,0.0,0.0,0.01,0.01
Boende,4.559e-06,9.118e-06,0.0,5.344e-05,,,,,
Boga,0.02424,0.03444,0.001244,0.002609,0.22,0.54,0.59,0.64,0.66
Bogosenubea,0.0,0.0,0.0,0.0,,,,,
Boko,4.255e-05,9.118e-06,1.406e-05,1.406e-05,,,,,
Boko Kivulu,1.216e-05,2.28e-05,4.5e-05,2.813e-05,,,,,
Bokonzi,0.0,0.0,0.0,0.0,,,,,
Bokoro,7.599e-06,7.599e-06,0.0,8.438e-06,,,,,
Bolenge,5.499e-05,1.216e-05,3.094e-05,3.918e-06,,,,,
Bolobo,7.044e-05,1.786e-05,2.953e-05,1.236e-05,,,,,
Bolomba,0.0,0.0,0.0,0.0,,,,,
