nom,date,contacts_seen,cumulative_confirmed_cases,cumulative_confirmed_deaths,cumulative_contacts_isolated,cumulative_contacts_traced,cumulative_suspected_cases,cumulative_suspected_deaths,hosp_escaped,hospitalised,in_bed_previous_day,national_cumulative_confirmed_cases,national_cumulative_confirmed_deaths,national_cumulative_recovered_cases,national_cumulative_suspected_cases,national_cumulative_suspected_deaths,national_suspected_cases_in_isolation,national_suspected_cases_under_investigation,new_confirmed_cases,new_contacts_isolated,new_contacts_listed,new_hosp_admissions,new_hosp_detainees,new_hosp_other,new_suspected_cases,new_suspected_deaths,total_poe_hand_washing,total_poe_passed,total_poe_refused_hand_washing,total_poe_refused_screening,total_poe_sanitised,total_poe_screened
,2026-06-01,,94.0,10.0,,,,,,,,,,,,,,,74.0,,,,,,,,,,,,,
,2026-06-02,,94.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2026-06-03,,97.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2026-06-04,,94.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2026-06-05,,94.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2026-06-06,,94.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2026-06-07,,94.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2026-06-08,,94.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2026-06-09,,94.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2026-06-10,,94.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2026-06-11,,94.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2026-06-13,,94.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2026-06-14,,94.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2026-06-15,,94.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2026-06-17,,17.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2026-06-18,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2026-06-19,,17.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2026-06-20,,17.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2026-06-21,,17.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2026-06-22,,17.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2026-06-23,,17.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2026-06-24,,17.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2026-06-25,,17.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2026-06-29,,17.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2026-06-30,,17.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2026-07-01,,17.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2026-07-02,,17.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2026-07-03,,17.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2026-07-04,,17.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2026-07-05,,17.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2026-07-06,,17.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2026-07-07,,17.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2026-07-08,,17.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2026-07-09,,17.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2026-07-10,,17.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2026-07-11,,17.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
