nom,date,contacts_seen,cumulative_confirmed_cases,cumulative_confirmed_deaths,cumulative_contacts_isolated,cumulative_contacts_traced,cumulative_suspected_cases,cumulative_suspected_deaths,hosp_escaped,hospitalised,in_bed_previous_day,national_cumulative_confirmed_cases,national_cumulative_confirmed_deaths,national_cumulative_recovered_cases,national_cumulative_suspected_cases,national_cumulative_suspected_deaths,national_suspected_cases_in_isolation,national_suspected_cases_under_investigation,new_confirmed_cases,new_contacts_isolated,new_contacts_listed,new_hosp_admissions,new_hosp_detainees,new_hosp_other,new_suspected_cases,new_suspected_deaths,total_poe_hand_washing,total_poe_passed,total_poe_refused_hand_washing,total_poe_refused_screening,total_poe_sanitised,total_poe_screened
Adi,2026-05-22,,,,5.0,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,
Aru,2026-05-20,,,,,,,,,,,,,,,,,,,,,,,,,,718.0,718.0,0.0,0.0,718.0,718.0
Aru,2026-05-22,,1.0,,,0.0,3.0,,,,,,,,,,,,1.0,,0.0,,,,3.0,0.0,1010.0,1143.0,133.0,133.0,1143.0,1010.0
Aru,2026-05-23,,1.0,,1.0,0.0,4.0,1.0,0.0,2.0,2.0,,,,,,,,,1.0,,0.0,0.0,0.0,1.0,1.0,1010.0,1143.0,133.0,133.0,1143.0,1010.0
Aru,2026-05-24,,1.0,,,0.0,4.0,1.0,0.0,2.0,2.0,,,,,,,,0.0,,0.0,0.0,0.0,0.0,,0.0,,,,,,
Aru,2026-05-25,,1.0,,,0.0,4.0,1.0,,,,,,,,,,,0.0,,0.0,,,,0.0,0.0,,,,,,
Aru,2026-05-26,,1.0,,,0.0,4.0,1.0,,,,,,,,,,,0.0,,0.0,,,,0.0,0.0,,,,,,
Aru,2026-05-27,,1.0,,,0.0,4.0,1.0,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,
Aru,2026-05-28,,2.0,1.0,,0.0,4.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
Aru,2026-05-29,,2.0,1.0,,0.0,4.0,1.0,0.0,2.0,2.0,,,,,,,,0.0,,107.0,,0.0,,,,,,,,,
Aungba,2026-05-28,,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aungba,2026-05-29,,1.0,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,
Bambu,2026-05-20,,1.0,,,128.0,2.0,,,,,,,,,,,,1.0,,128.0,,,,2.0,,,,,,,
Bambu,2026-05-21,,1.0,0.0,,,2.0,0.0,,,,,,,,,,,0.0,,,,,,0.0,0.0,,,,,,
Bambu,2026-05-22,,1.0,0.0,,,4.0,0.0,,,,,,,,,,,0.0,0.0,,,,,2.0,0.0,,,,,,
Bambu,2026-05-23,,0.0,0.0,,183.0,6.0,2.0,,,,,,,,,,,0.0,,55.0,,,,2.0,2.0,,,,,,
Bambu,2026-05-24,,2.0,0.0,,183.0,6.0,2.0,0.0,2.0,2.0,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,
Bambu,2026-05-25,,0.0,,,183.0,6.0,2.0,,,,,,,,,,,,,0.0,,,,0.0,0.0,,,,,,
Bambu,2026-05-26,,0.0,0.0,,183.0,10.0,2.0,,,,,,,,,,,0.0,,0.0,,,,4.0,0.0,,,,,,
Bambu,2026-05-27,,0.0,0.0,,244.0,6.0,2.0,0.0,,,,,,,,,,0.0,,61.0,6.0,0.0,3.0,,,,,,,,
Bambu,2026-05-28,,2.0,2.0,,244.0,14.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,
Bambu,2026-05-29,,2.0,2.0,,345.0,14.0,3.0,11.0,5.0,12.0,,,,,,,,0.0,,323.0,,0.0,,8.0,1.0,,,,,,
Beni,2026-05-28,,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beni,2026-05-29,,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bunia,2026-05-15,,0.0,,4.0,,8.0,,,,,,,,,,,,0.0,4.0,,,,,8.0,,,,,,,
Bunia,2026-05-18,,6.0,,13.0,127.0,61.0,18.0,,,,,,,,,,,6.0,9.0,127.0,,,,53.0,18.0,,,,,,
Bunia,2026-05-19,3.0,6.0,0.0,43.0,203.0,90.0,23.0,,,,,,,,,,,0.0,30.0,76.0,,,,29.0,5.0,,,,,,
Bunia,2026-05-20,0.0,11.0,0.0,73.0,203.0,125.0,31.0,1.0,40.0,,,,,,,,,5.0,30.0,0.0,28.0,0.0,12.0,35.0,8.0,544.0,544.0,0.0,0.0,544.0,544.0
Bunia,2026-05-21,87.0,15.0,1.0,114.0,290.0,166.0,34.0,9.0,50.0,,,,,,,,,6.0,41.0,87.0,36.0,1.0,31.0,41.0,3.0,1473.0,1473.0,0.0,0.0,1473.0,1473.0
Bunia,2026-05-22,71.0,23.0,2.0,142.0,290.0,227.0,42.0,,44.0,33.0,,,,,,,,8.0,28.0,87.0,11.0,3.0,8.0,61.0,8.0,3256.0,3360.0,104.0,104.0,3360.0,3256.0
Bunia,2026-05-23,71.0,24.0,2.0,164.0,404.0,249.0,48.0,5.0,50.0,41.0,,,,,,,,1.0,22.0,43.0,9.0,3.0,6.0,22.0,6.0,3256.0,3360.0,104.0,104.0,3360.0,3256.0
Bunia,2026-05-24,,24.0,2.0,,404.0,249.0,48.0,4.0,53.0,44.0,,,,,,,,0.0,,0.0,9.0,3.0,6.0,,0.0,,,,,,
Bunia,2026-05-25,,24.0,2.0,,404.0,270.0,55.0,,,,,,,,,,,0.0,,0.0,,,,21.0,7.0,,,,,,
Bunia,2026-05-26,,36.0,2.0,,404.0,279.0,55.0,,,,,,,,,,,12.0,,0.0,,,,0.0,0.0,,,,,,
Bunia,2026-05-27,,37.0,2.0,,404.0,249.0,48.0,3.0,,,,,,,,,,1.0,,0.0,14.0,0.0,2.0,,,,,,,,
Bunia,2026-05-28,,80.0,8.0,,404.0,268.0,57.0,,,,,,,,,,,,,,,,,,,,,,,,
