contacts_seen,cumulative_confirmed_cases,cumulative_confirmed_deaths,cumulative_contacts_isolated,cumulative_contacts_traced,cumulative_suspected_cases,cumulative_suspected_deaths,hosp_escaped,hospitalised,in_bed_previous_day,national_cumulative_confirmed_cases,national_cumulative_confirmed_deaths,national_cumulative_recovered_cases,national_cumulative_suspected_cases,national_cumulative_suspected_deaths,national_suspected_cases_in_isolation,national_suspected_cases_under_investigation,new_confirmed_cases,new_contacts_isolated,new_contacts_listed,new_hosp_admissions,new_hosp_detainees,new_hosp_other,new_suspected_cases,new_suspected_deaths,total_poe_hand_washing,total_poe_passed,total_poe_refused_hand_washing,total_poe_refused_screening,total_poe_sanitised,total_poe_screened,rt_proxy,label_next_7d
3.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,2.0,2.0,8.0,4.0,1.0,246.0,131.0,,,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,718.0,718.0,0.0,0.0,718.0,718.0,1.0,0
3.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,2.0,2.0,8.0,4.0,1.0,246.0,131.0,,,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,718.0,718.0,0.0,0.0,718.0,718.0,1.0,0
3.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,2.0,2.0,8.0,4.0,1.0,246.0,131.0,,,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,718.0,718.0,0.0,0.0,718.0,718.0,1.0,0
3.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,2.0,2.0,8.0,4.0,1.0,246.0,131.0,,,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,718.0,718.0,0.0,0.0,718.0,718.0,1.0,0
3.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,2.0,2.0,8.0,4.0,1.0,246.0,131.0,,,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,718.0,718.0,0.0,0.0,718.0,718.0,1.0,0
3.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,2.0,2.0,8.0,4.0,1.0,246.0,131.0,,,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,718.0,718.0,0.0,0.0,718.0,718.0,1.0,0
3.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,2.0,2.0,8.0,4.0,1.0,246.0,131.0,,,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,718.0,718.0,0.0,0.0,718.0,718.0,1.0,0
3.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,2.0,2.0,8.0,4.0,1.0,246.0,131.0,,,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,718.0,718.0,0.0,0.0,718.0,718.0,1.0,0
3.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,2.0,2.0,8.0,4.0,1.0,246.0,131.0,,,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,718.0,718.0,0.0,0.0,718.0,718.0,1.0,0
3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,8.0,4.0,1.0,246.0,131.0,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,718.0,718.0,0.0,0.0,718.0,718.0,1.0,0
3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,8.0,4.0,1.0,246.0,131.0,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,718.0,718.0,0.0,0.0,718.0,718.0,1.0,1
3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,8.0,4.0,1.0,246.0,131.0,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,718.0,718.0,0.0,0.0,718.0,718.0,1.0,1
3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,8.0,4.0,1.0,246.0,131.0,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,718.0,718.0,0.0,0.0,718.0,718.0,1.0,1
