nom,pop_count,pop_density
Aba,209106.319414451,62.1917395428462
Abuzi,143495.897079163,12.7789040762929
Adi,285382.989763905,264.705086454213
Adja,126933.085370457,180.2161060734
Aketi,188784.97504507,12.9823573078756
Alimbongo,296820.662478323,80.1216286626615
Alunguli,89503.6613623159,316.941556539143
Ango,161062.516953773,4.80113823843538
Angumu,103692.775872387,418.959599521306
Ankoro,212229.558330416,22.6370324434467
Ariwara,314729.737565156,472.552156473714
Aru,329667.250619862,339.239633491485
Aungba,216786.701892523,171.063075277196
Bafwagbogbo,65512.3550559499,5.28740726029841
Bafwasende,132263.502085224,7.39380144081809
Bagata,274955.641449546,48.9614338562626
Bagira,211256.487737879,7891.19223916789
Baka,42765.1053975512,216.966341527058
Bambo,134970.462815797,160.925384497737
Bambu,136150.702150578,293.755113499808
Banalia,195653.723121955,12.1865280667574
Bandalungwa,134931.594495712,31496.0265813241
Bandundu,363064.438303042,197.965238238866
Banga Lubaka,96403.2363105294,22.0693907615084
Bangabola,162080.126902068,82.0681449663299
Banzow Moke,168924.770894738,34.8384083953639
Barumbu,110339.973271712,28307.5125273445
Basali,71182.165333241,5.95184108061275
Basankusu,223731.320368874,20.3372735295259
Basoko,205746.366156449,45.1570552743534
Befale,150305.194195629,13.3009608143578
Bena Dibele,141043.681627981,25.1843428648886
Bena Leka,289577.398379545,67.839361033034
Bena Tshadi,89143.3708731262,30.0328063321637
Bengamisa,191522.022207833,28.7465615408741
Beni,428853.658884277,583.694814150159
Bibanga,188866.385396375,125.745781299213
Biena,136159.010172674,117.808492237836
Bikoro,170290.257964631,43.1094455324918
Bili (Bas-Uele),63455.8941055952,3.65185125255871
Bili (Nord-Ubangi),215958.326872772,33.1600961706688
Bilomba,134825.646130867,105.882599040813
Binga,212293.030070199,44.8502577878632
Binza,191405.66379277,158.19428305996
Binza Meteo,620020.045967439,19960.1185615852
Binza Ozone,696345.148269534,17028.754947971
Bipemba,151224.74903546,13200.6117295984
Birambizo,127939.297461902,247.96652725493
Biringi,182556.468725981,83.0784480796211
Biyela,320354.470574275,14235.427827121
Bobozo,30621.524988338,550.141889879756
Boende,375960.029902932,30.6791950057729
Boga,72027.6381630724,73.1151310342453
Bogosenubea,245338.319993933,45.1870859111776
Boko,253850.989100503,33.0084950558999
Boko Kivulu,336574.568827909,165.142339669862
Bokonzi,238075.424264785,33.6261971363392
Bokoro,377549.233757258,34.1628936436141
Bokungu,222295.459027885,26.8282210536574
Bolenge,78746.8993223592,53.4910491678992
Bolobo,191313.191789529,40.9850708963563
Bolomba,243797.698828819,18.5598300710018
Boma,371797.04061509,3487.71880625628
Boma Bungu,128380.955207648,52.940007896912
Boma Mangbetu,230103.99410288,150.604080538261
Bominenge,124074.018666259,75.9782737798808
Bomongo,113867.068999355,12.5487611844892
Bondo,287099.395830722,19.1861189935571
Bongandanga,72278.6647136819,7.36422446272451
Bonzola,383611.592667324,13411.6106347968
Boso Manzi,159699.738446677,31.7464880814703
Boso Mondanda,140616.794078929,27.1927468781412
